"protein_name" "sample_ID" "psm" "study" "material" "material2" "x_label"
"1" "Collagen alpha-1(I) chain" "NP6090" 458 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"2" "Collagen alpha-1(I) chain" "NP6086" 446 "Mickleburgh" "bone" "Bone
 " "NP6086

Bone
 "
"3" "Collagen alpha-1(I) chain" "NP6083" 431 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"4" "Collagen alpha-1(I) chain" "NP6088" 423 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"5" "Collagen alpha-1(I) chain" "NP6089" 422 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"6" "Collagen alpha-1(I) chain" "NP6085" 420 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"7" "Collagen alpha-2(I) chain" "NP6090" 397 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"8" "Collagen alpha-2(I) chain" "NP6086" 380 "Mickleburgh" "bone" "Bone
 " "NP6086

Bone
 "
"9" "Collagen alpha-2(I) chain" "NP6088" 374 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"10" "Collagen alpha-1(I) chain" "NP6084" 369 "Mickleburgh" "bone" "Bone
 " "NP6084

Bone
 "
"11" "Collagen alpha-2(I) chain" "NP6089" 368 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"12" "Collagen alpha-2(I) chain" "NP6083" 351 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"13" "Collagen alpha-1(I) chain" "NP6082" 344 "Mickleburgh" "bone" "Bone
 " "NP6082

Bone
 "
"14" "Collagen alpha-2(I) chain" "NP6082" 323 "Mickleburgh" "bone" "Bone
 " "NP6082

Bone
 "
"15" "Collagen alpha-2(I) chain" "NP6085" 314 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"16" "Collagen alpha-2(I) chain" "NP6084" 289 "Mickleburgh" "bone" "Bone
 " "NP6084

Bone
 "
"17" "Biglycan" "NP6085" 110 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"18" "Biglycan" "NP6088" 105 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"19" "Biglycan" "NP6090" 105 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"20" "Alpha-2-HS-glycoprotein" "NP6088" 102 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"21" "Alpha-2-HS-glycoprotein" "NP6083" 96 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"22" "Biglycan" "NP6083" 92 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"23" "Alpha-2-HS-glycoprotein" "NP6085" 92 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"24" "Alpha-2-HS-glycoprotein" "NP6090" 87 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"25" "Biglycan" "NP6089" 69 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"26" "Prothrombin" "NP6088" 65 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"27" "Chondroadherin" "NP6083" 63 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"28" "Chondroadherin" "NP6088" 61 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"29" "Prothrombin" "NP6083" 57 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"30" "Prothrombin" "NP6085" 54 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"31" "Alpha-2-HS-glycoprotein" "NP6089" 54 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"32" "Vimentin" "NP6089" 50 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"33" "Alpha-2-HS-glycoprotein" "NP6086" 48 "Mickleburgh" "bone" "Bone
 " "NP6086

Bone
 "
"34" "Prothrombin" "NP6090" 48 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"35" "Alpha-2-HS-glycoprotein" "NP6084" 45 "Mickleburgh" "bone" "Bone
 " "NP6084

Bone
 "
"36" "Albumin" "NP6089" 44 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"37" "Biglycan" "NP6082" 43 "Mickleburgh" "bone" "Bone
 " "NP6082

Bone
 "
"38" "Hemoglobin subunit beta" "NP6089" 43 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"39" "Lumican" "NP6085" 42 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"40" "Prothrombin" "NP6089" 42 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"41" "Alpha-2-HS-glycoprotein" "NP6082" 40 "Mickleburgh" "bone" "Bone
 " "NP6082

Bone
 "
"42" "Chromogranin-A" "NP6089" 40 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"43" "Chondroadherin" "NP6090" 39 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"44" "Pigment epithelium-derived factor" "NP6088" 38 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"45" "Biglycan" "NP6086" 37 "Mickleburgh" "bone" "Bone
 " "NP6086

Bone
 "
"46" "Alpha-1-antitrypsin" "NP6089" 37 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"47" "Pigment epithelium-derived factor" "NP6083" 35 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"48" "Lumican" "NP6090" 35 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"49" "Decorin" "NP6085" 30 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"50" "Osteomodulin" "NP6085" 30 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"51" "Lumican" "NP6088" 30 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
"52" "Lumican" "NP6083" 28 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"53" "Osteomodulin" "NP6083" 28 "Mickleburgh" "bone" "Bone
 " "NP6083

Bone
 "
"54" "Biglycan" "NP6084" 28 "Mickleburgh" "bone" "Bone
 " "NP6084

Bone
 "
"55" "Lumican" "NP6084" 28 "Mickleburgh" "bone" "Bone
 " "NP6084

Bone
 "
"56" "Chondroadherin" "NP6085" 28 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"57" "Prolargin" "NP6089" 28 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"58" "Lumican" "NP6089" 27 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"59" "Chondroadherin" "NP6089" 26 "Mickleburgh" "bone" "Bone
 " "NP6089

Bone
 "
"60" "Decorin" "NP6090" 26 "Mickleburgh" "bone" "Bone
 " "NP6090

Bone
 "
"61" "Albumin" "NP6085" 25 "Mickleburgh" "bone" "Bone
 " "NP6085

Bone
 "
"62" "Osteomodulin" "NP6088" 25 "Mickleburgh" "bone" "Bone
 " "NP6088

Bone
 "
