"protein_name","sample_ID","psm","study","material","material2","x_label"
"Titin","1-ZH1657",398,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Titin","1-ZH1670",319,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Titin","1-ZH1659",170,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Fibronectin","1-ZH1670",139,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(I) chain","1-ZH1658",130,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-1(I) chain","2-ZH1673",115,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-2(I) chain","1-ZH1658",110,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-2(I) chain","2-ZH1672",110,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Chondroadherin","3-ZH1676",110,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Collagen alpha-1(I) chain","2-ZH1672",109,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Superoxide dismutase [Mn], mitochondrial","1-ZH1670",104,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Chondroadherin","2-ZH1672",99,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-2(I) chain","2-ZH1673",98,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-2(I) chain","3-ZH1676",97,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Protein S100-A9","1-ZH1670",95,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Fatty acid-binding protein, adipocyte","1-ZH1657",91,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Biglycan","3-ZH1676",88,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Collagen alpha-1(I) chain","3-ZH1676",88,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Alpha-1-antitrypsin","1-ZH1670",85,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(II) chain","1-ZH1670",85,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Biglycan","2-ZH1672",84,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Ferritin light chain","1-ZH1670",81,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-2(I) chain","1-ZH1659",79,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Chondroadherin","1-ZH1658",78,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Biglycan","1-ZH1670",77,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-2(I) chain","1-ZH1670",76,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-2(IX) chain","1-ZH1670",69,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Biglycan","1-ZH1658",67,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Alpha-2-macroglobulin","1-ZH1670",67,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(I) chain","1-ZH1659",63,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Pigment epithelium-derived factor","3-ZH1676",62,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Pigment epithelium-derived factor","2-ZH1672",59,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Alpha-1-antitrypsin","1-ZH1659",54,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Protein S100-A9","1-ZH1659",54,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Prothrombin","2-ZH1672",54,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Alpha-1-antichymotrypsin","1-ZH1670",53,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Fatty acid-binding protein, adipocyte","1-ZH1670",52,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Filamin-C","1-ZH1670",51,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-1-antitrypsin","2-ZH1673",51,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Albumin","2-ZH1672",47,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Pigment epithelium-derived factor","1-ZH1658",46,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Protein S100-A9","2-ZH1673",45,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Albumin","3-ZH1676",44,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Prothrombin","1-ZH1658",43,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Filamin-C","1-ZH1659",43,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Alpha-2-HS-glycoprotein","2-ZH1672",43,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-1(XII) chain","2-ZH1672",43,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Prothrombin","3-ZH1676",40,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Biglycan","1-ZH1659",39,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Alpha-2-HS-glycoprotein","3-ZH1676",39,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Filamin-C","1-ZH1657",38,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Vitronectin","1-ZH1658",37,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Myosin-2","1-ZH1670",37,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-2-HS-glycoprotein","1-ZH1658",36,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Albumin","1-ZH1658",35,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Beta-glucuronidase","1-ZH1670",35,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Sushi repeat-containing protein SRPX2","1-ZH1670",35,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Asporin","1-ZH1670",34,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-1-antichymotrypsin","2-ZH1673",34,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Serum amyloid A-1 protein","1-ZH1670",33,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-actinin-2","1-ZH1670",32,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Ferritin light chain","2-ZH1673",31,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Alpha-1-antichymotrypsin","1-ZH1659",30,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Asporin","1-ZH1659",30,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Collagen alpha-1(IX) chain","1-ZH1670",30,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Filamin-A","1-ZH1670",29,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Myeloperoxidase","1-ZH1659",28,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Vitronectin","3-ZH1676",27,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Apolipoprotein D","1-ZH1657",26,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Ferritin heavy chain","1-ZH1657",26,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Protein S100-A8","1-ZH1670",26,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(XII) chain","1-ZH1658",25,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Aldehyde oxidase","1-ZH1670",25,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(X) chain","1-ZH1670",25,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Ferritin heavy chain","1-ZH1670",25,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Vitronectin","2-ZH1672",25,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Lumican","3-ZH1676",25,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Ferritin light chain","1-ZH1659",24,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Collagen alpha-1(XII) chain","1-ZH1670",24,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Keratin, type I cuticular Ha3-I","2-ZH1673",24,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"KRT85_HUMAN","2-ZH1673",24,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Triosephosphate isomerase","1-ZH1657",23,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Collagen alpha-1(XII) chain","1-ZH1659",23,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Prolargin","1-ZH1670",23,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Serum amyloid P-component","1-ZH1670",23,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-3(VI) chain","2-ZH1672",23,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-1(XII) chain","3-ZH1676",23,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"FABPH_HUMAN","1-ZH1657",22,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Superoxide dismutase [Mn], mitochondrial","1-ZH1659",22,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Lumican","1-ZH1658",21,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Lactadherin","1-ZH1670",21,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Lumican","2-ZH1672",21,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Periostin","1-ZH1658",20,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Aspartate aminotransferase, mitochondrial","1-ZH1670",20,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Serum amyloid P-component","2-ZH1673",20,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-2(VI) chain","1-ZH1657",19,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Collagen alpha-2(IV) chain","1-ZH1670",19,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-1-acid glycoprotein 1","2-ZH1673",19,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Alpha-1-antitrypsin","1-ZH1657",18,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Aggrecan core protein","1-ZH1670",18,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-1-acid glycoprotein 1","1-ZH1670",18,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Glutathione peroxidase 3","1-ZH1670",18,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Myosin-binding protein C, slow-type","1-ZH1670",18,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Peroxiredoxin-4","1-ZH1670",18,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Superoxide dismutase [Mn], mitochondrial","2-ZH1673",18,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Anoctamin-5","3-ZH1676",18,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Olfactomedin-like protein 3","1-ZH1658",17,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Antithrombin-III","1-ZH1670",17,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-3(VI) chain","1-ZH1670",17,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Immunoglobulin gamma-1 heavy chain","1-ZH1670",17,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-1-acid glycoprotein 1","1-ZH1657",16,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Myomesin-3","1-ZH1657",16,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Coagulation factor X","1-ZH1658",16,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-3(VI) chain","1-ZH1658",16,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Fatty acid-binding protein, adipocyte","1-ZH1659",16,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Serum amyloid A-1 protein","1-ZH1659",16,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Protein S100-A8","2-ZH1673",16,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Albumin","2-ZH1673",16,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Osteomodulin","3-ZH1676",16,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Ferritin heavy chain","1-ZH1659",15,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Glyceraldehyde-3-phosphate dehydrogenase","1-ZH1659",15,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Protein S100-A8","1-ZH1659",15,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Alpha-actinin-1","1-ZH1670",15,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Decorin","1-ZH1670",15,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Vitronectin","2-ZH1673",15,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Olfactomedin-like protein 3","3-ZH1676",15,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Ferritin light chain","1-ZH1657",14,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Superoxide dismutase [Mn], mitochondrial","1-ZH1657",14,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Superoxide dismutase [Mn], mitochondrial","1-ZH1658",14,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Albumin","1-ZH1670",14,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Glyceraldehyde-3-phosphate dehydrogenase","1-ZH1670",14,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Mimecan","1-ZH1670",14,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Myeloperoxidase","1-ZH1670",14,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Prenylcysteine oxidase","1-ZH1670",14,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Anoctamin-5","2-ZH1672",14,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Complement component C9","2-ZH1672",14,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-3(VI) chain","2-ZH1673",14,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Filamin-A","2-ZH1673",14,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Metalloproteinase inhibitor 3","2-ZH1673",14,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Microfibril-associated glycoprotein 4","2-ZH1673",14,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Coagulation factor IX","3-ZH1676",14,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Vitamin K-dependent protein C","1-ZH1658",13,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Decorin","1-ZH1659",13,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Apolipoprotein D","1-ZH1670",13,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Dimethylglycine dehydrogenase, mitochondrial","1-ZH1670",13,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"CAH1_HUMAN","1-ZH1670",13,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Coagulation factor X","2-ZH1672",13,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Thrombospondin-1","2-ZH1672",13,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Vitamin K-dependent protein C","2-ZH1672",13,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Apolipoprotein D","2-ZH1673",13,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Ferritin heavy chain","2-ZH1673",13,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Protein S100-A7","2-ZH1673",13,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Transmembrane protein 43","2-ZH1673",13,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-3(VI) chain","3-ZH1676",13,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Amine oxidase [flavin-containing] B","1-ZH1657",12,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Glyceraldehyde-3-phosphate dehydrogenase","1-ZH1657",12,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Unconventional myosin-Ib","1-ZH1658",12,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-2(IV) chain","1-ZH1659",12,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Fumarylacetoacetase","1-ZH1670",12,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Thymidine phosphorylase","1-ZH1670",12,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Coagulation factor IX","2-ZH1672",12,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Dermatopontin","2-ZH1672",12,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Olfactomedin-like protein 3","2-ZH1672",12,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-1(III) chain","2-ZH1673",12,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Complement component C9","2-ZH1673",12,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Immunoglobulin gamma-1 heavy chain","2-ZH1673",12,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Versican core protein","2-ZH1673",12,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-2(I) chain","1-ZH1656",11,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Alpha-1-antichymotrypsin","1-ZH1657",11,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Myelin P2 protein","1-ZH1657",11,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Myomesin-2","1-ZH1657",11,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Myosin-binding protein C, slow-type","1-ZH1657",11,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Anoctamin-5","1-ZH1658",11,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Coagulation factor IX","1-ZH1658",11,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Mimecan","1-ZH1659",11,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Leukocyte elastase inhibitor","1-ZH1670",11,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Osteomodulin","2-ZH1672",11,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Unconventional myosin-Id","2-ZH1672",11,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Mast cell carboxypeptidase A","2-ZH1673",11,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"C-type lectin domain family 11 member A","3-ZH1676",11,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Decorin","3-ZH1676",11,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Retina-specific copper amine oxidase","3-ZH1676",11,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Prenylcysteine oxidase","1-ZH1657",10,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Complement component C9","1-ZH1658",10,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Dermatopontin","1-ZH1658",10,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Retina-specific copper amine oxidase","1-ZH1658",10,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Serine protease HTRA1","1-ZH1658",10,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Aminopeptidase N","1-ZH1670",10,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-2(VI) chain","1-ZH1670",10,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Gamma-glutamyl hydrolase","1-ZH1670",10,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Myomesin-2","1-ZH1670",10,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"C-type lectin domain family 11 member A","2-ZH1672",10,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Unconventional myosin-Ib","2-ZH1672",10,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Vitamin K-dependent protein Z","2-ZH1672",10,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Asporin","2-ZH1673",10,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
