"protein_name" "sample_ID" "psm" "study" "material" "material2" "x_label"
"1" "Titin" "1-ZH1657" 398 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"2" "Titin" "1-ZH1670" 319 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"3" "Titin" "1-ZH1659" 170 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"4" "Fibronectin" "1-ZH1670" 139 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"5" "Collagen alpha-1(I) chain" "1-ZH1658" 130 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"6" "Collagen alpha-1(I) chain" "2-ZH1673" 115 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"7" "Collagen alpha-2(I) chain" "1-ZH1658" 110 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"8" "Collagen alpha-2(I) chain" "2-ZH1672" 110 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"9" "Chondroadherin" "3-ZH1676" 110 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"10" "Collagen alpha-1(I) chain" "2-ZH1672" 109 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"11" "Superoxide dismutase [Mn], mitochondrial" "1-ZH1670" 104 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"12" "Chondroadherin" "2-ZH1672" 99 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"13" "Collagen alpha-2(I) chain" "2-ZH1673" 98 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"14" "Collagen alpha-2(I) chain" "3-ZH1676" 97 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"15" "Protein S100-A9" "1-ZH1670" 95 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"16" "Fatty acid-binding protein, adipocyte" "1-ZH1657" 91 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"17" "Biglycan" "3-ZH1676" 88 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"18" "Collagen alpha-1(I) chain" "3-ZH1676" 88 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"19" "Alpha-1-antitrypsin" "1-ZH1670" 85 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"20" "Collagen alpha-1(II) chain" "1-ZH1670" 85 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"21" "Biglycan" "2-ZH1672" 84 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"22" "Ferritin light chain" "1-ZH1670" 81 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"23" "Collagen alpha-2(I) chain" "1-ZH1659" 79 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"24" "Chondroadherin" "1-ZH1658" 78 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"25" "Biglycan" "1-ZH1670" 77 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"26" "Collagen alpha-2(I) chain" "1-ZH1670" 76 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"27" "Collagen alpha-2(IX) chain" "1-ZH1670" 69 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"28" "Biglycan" "1-ZH1658" 67 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"29" "Alpha-2-macroglobulin" "1-ZH1670" 67 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"30" "Collagen alpha-1(I) chain" "1-ZH1659" 63 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"31" "Pigment epithelium-derived factor" "3-ZH1676" 62 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"32" "Pigment epithelium-derived factor" "2-ZH1672" 59 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"33" "Alpha-1-antitrypsin" "1-ZH1659" 54 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"34" "Protein S100-A9" "1-ZH1659" 54 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"35" "Prothrombin" "2-ZH1672" 54 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"36" "Alpha-1-antichymotrypsin" "1-ZH1670" 53 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"37" "Fatty acid-binding protein, adipocyte" "1-ZH1670" 52 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"38" "Filamin-C" "1-ZH1670" 51 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"39" "Alpha-1-antitrypsin" "2-ZH1673" 51 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"40" "Albumin" "2-ZH1672" 47 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"41" "Pigment epithelium-derived factor" "1-ZH1658" 46 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"42" "Protein S100-A9" "2-ZH1673" 45 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"43" "Albumin" "3-ZH1676" 44 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"44" "Prothrombin" "1-ZH1658" 43 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"45" "Filamin-C" "1-ZH1659" 43 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"46" "Alpha-2-HS-glycoprotein" "2-ZH1672" 43 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"47" "Collagen alpha-1(XII) chain" "2-ZH1672" 43 "Seili" "bone" "Bone
 " "2-ZH1672

Bone
 "
"48" "Prothrombin" "3-ZH1676" 40 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"49" "Biglycan" "1-ZH1659" 39 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"50" "Alpha-2-HS-glycoprotein" "3-ZH1676" 39 "Seili" "bone" "Bone
 " "3-ZH1676

Bone
 "
"51" "Filamin-C" "1-ZH1657" 38 "Seili" "coffin_bedding" "Coffin
bedding" "1-ZH1657

Coffin
bedding"
"52" "Vitronectin" "1-ZH1658" 37 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"53" "Myosin-2" "1-ZH1670" 37 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"54" "Alpha-2-HS-glycoprotein" "1-ZH1658" 36 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"55" "Albumin" "1-ZH1658" 35 "Seili" "bone" "Bone
 " "1-ZH1658

Bone
 "
"56" "Beta-glucuronidase" "1-ZH1670" 35 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"57" "Sushi repeat-containing protein SRPX2" "1-ZH1670" 35 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"58" "Asporin" "1-ZH1670" 34 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"59" "Alpha-1-antichymotrypsin" "2-ZH1673" 34 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"60" "Serum amyloid A-1 protein" "1-ZH1670" 33 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"61" "Alpha-actinin-2" "1-ZH1670" 32 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"62" "Ferritin light chain" "2-ZH1673" 31 "Seili" "soft_tissue" "Soft
tissue" "2-ZH1673

Soft
tissue"
"63" "Alpha-1-antichymotrypsin" "1-ZH1659" 30 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"64" "Asporin" "1-ZH1659" 30 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
"65" "Collagen alpha-1(IX) chain" "1-ZH1670" 30 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"66" "Filamin-A" "1-ZH1670" 29 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1670

Soft
tissue"
"67" "Myeloperoxidase" "1-ZH1659" 28 "Seili" "soft_tissue" "Soft
tissue" "1-ZH1659

Soft
tissue"
