"protein_name" "sample_ID" "psm" "study" "material" "material2" "x_label"
"1" "Collagen alpha-1(I) chain" "293" 358 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"2" "Collagen alpha-1(I) chain" "296" 306 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"3" "Collagen alpha-1(I) chain" "319" 278 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"4" "Collagen alpha-2(I) chain" "293" 233 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"5" "Collagen alpha-2(I) chain" "319" 207 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"6" "Collagen alpha-2(I) chain" "296" 199 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"7" "Collagen alpha-1(I) chain" "302" 162 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"8" "Collagen alpha-1(I) chain" "318" 158 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"9" "Chondroadherin" "319" 126 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"10" "Collagen alpha-2(I) chain" "302" 119 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"11" "Collagen alpha-2(I) chain" "318" 106 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"12" "Prothrombin" "319" 106 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"13" "Chondroadherin" "293" 88 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"14" "Chondroadherin" "318" 87 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"15" "Chondroadherin" "296" 82 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"16" "Biglycan" "319" 76 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"17" "Chondroadherin" "302" 75 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"18" "Collagen alpha-2(I) chain" "294" 68 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"19" "Pigment epithelium-derived factor" "319" 68 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"20" "Collagen alpha-1(I) chain" "294" 66 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"21" "Biglycan" "318" 61 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"22" "Biglycan" "293" 58 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"23" "Prothrombin" "293" 58 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"24" "Collagen alpha-2(I) chain" "301" 53 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"25" "Vitronectin" "319" 49 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"26" "Biglycan" "296" 49 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"27" "Pigment epithelium-derived factor" "293" 49 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"28" "Pigment epithelium-derived factor" "318" 48 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"29" "Albumin" "293" 48 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"30" "Pigment epithelium-derived factor" "302" 47 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"31" "Collagen alpha-1(I) chain" "301" 46 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"32" "Vitronectin" "293" 43 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"33" "Chondroadherin" "294" 39 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"34" "Alpha-2-HS-glycoprotein" "319" 39 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"35" "Lumican" "319" 35 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"36" "Prothrombin" "302" 35 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"37" "Pigment epithelium-derived factor" "296" 33 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"38" "Prothrombin" "296" 33 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"39" "Alpha-2-HS-glycoprotein" "293" 33 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"40" "Vitronectin" "296" 31 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"41" "Albumin" "319" 30 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"42" "Chondroadherin" "301" 29 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"43" "Alpha-2-HS-glycoprotein" "302" 29 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"44" "Pigment epithelium-derived factor" "301" 28 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"45" "Prothrombin" "318" 25 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"46" "Vitronectin" "302" 24 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"47" "Biglycan" "294" 23 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"48" "Pigment epithelium-derived factor" "294" 22 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"49" "Periostin" "293" 22 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"50" "Vitronectin" "318" 21 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"51" "Coagulation factor IX" "319" 21 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"52" "Albumin" "296" 21 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"53" "Albumin" "302" 21 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"54" "Osteomodulin" "319" 19 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"55" "Dermatopontin" "293" 19 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"56" "Coagulation factor VII" "319" 18 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"57" "Eosinophil peroxidase" "296" 18 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"58" "Lumican" "293" 18 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"59" "Albumin" "318" 17 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"60" "Dermatopontin" "319" 17 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"61" "Prothrombin" "301" 17 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"62" "Alpha-2-HS-glycoprotein" "296" 15 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"63" "Lumican" "302" 15 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"64" "Vitronectin" "294" 14 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"65" "Collagen alpha-1(V) chain" "319" 14 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"66" "Collagen alpha-1(XXII) chain" "319" 14 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"67" "Eosinophil peroxidase" "294" 13 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"68" "Eosinophil peroxidase" "319" 13 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"69" "Lumican" "296" 13 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"70" "Collagen alpha-1(V) chain" "293" 13 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"71" "Coagulation factor X" "319" 12 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"72" "Decorin" "319" 12 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"73" "Olfactomedin-like protein 3" "319" 12 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"74" "Protein Z-dependent protease inhibitor" "319" 12 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"75" "Albumin" "294" 11 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"76" "Coagulation factor IX" "318" 11 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"77" "Lumican" "318" 11 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"78" "Coagulation factor IX" "296" 11 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"79" "Coagulation factor IX" "302" 11 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"80" "Collagen alpha-1(XII) chain" "293" 11 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"81" "Decorin" "293" 11 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"82" "Eosinophil peroxidase" "293" 11 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"83" "Collagen alpha-1(XII) chain" "318" 10 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"84" "Bone marrow proteoglycan" "296" 10 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"85" "Dermatopontin" "296" 10 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"86" "Collagen alpha-1(V) chain" "302" 10 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"87" "Dermatopontin" "302" 10 "Sawafuji" "bone" "Bone
 " "302

Bone
 "
"88" "Coagulation factor X" "293" 10 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"89" "Insulin-like growth factor-binding protein 5" "293" 10 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"90" "Kininogen-1" "293" 10 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"91" "Alpha-2-HS-glycoprotein" "318" 9 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"92" "Osteocalcin" "319" 9 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"93" "Vitronectin" "301" 9 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"94" "Coagulation factor IX" "294" 8 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"95" "Lumican" "294" 8 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"96" "Prothrombin" "294" 8 "Sawafuji" "bone" "Bone
 " "294

Bone
 "
"97" "Decorin" "318" 8 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"98" "Dermatopontin" "318" 8 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"99" "Collagen alpha-1(XII) chain" "319" 8 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"100" "Matrix Gla protein" "319" 8 "Sawafuji" "bone" "Bone
 " "319

Bone
 "
"101" "Albumin" "301" 8 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"102" "Coagulation factor IX" "301" 8 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
"103" "Coagulation factor IX" "293" 8 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"104" "Protein Z-dependent protease inhibitor" "293" 8 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"105" "Thrombospondin-1" "293" 8 "Sawafuji" "bone" "Bone
 " "293

Bone
 "
"106" "Osteomodulin" "318" 7 "Sawafuji" "bone" "Bone
 " "318

Bone
 "
"107" "Collagen alpha-1(V) chain" "296" 7 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"108" "Protein Z-dependent protease inhibitor" "296" 7 "Sawafuji" "bone" "Bone
 " "296

Bone
 "
"109" "Lumican" "301" 7 "Sawafuji" "bone" "Bone
 " "301

Bone
 "
